service_name,count,total_revenue,avg_price,min_price,max_price,first_seen_date,first_invoice_id
New Battery,1,550.00,550.00,550.00,550.00,2023-12-21,129
Add RAM 4G DDR3,1,350.00,350.00,350.00,350.00,2023-12-21,129
Change USB,1,150.00,150.00,150.00,150.00,2023-12-20,122
install os x2,1,300.00,300.00,300.00,300.00,2023-12-23,132
New SSD M.2 512G  Dahwa-ya,1,1750.00,1750.00,1750.00,1750.00,2023-12-21,127
install SSD - Install Windows + Basic Programs + Orignal Drivers,1,200.00,200.00,200.00,200.00,2023-12-21,127
Replacement New Battery,1,2350.00,2350.00,2350.00,2350.00,2023-12-25,138
New Mac Charger 45W T,1,1200.00,1200.00,1200.00,1200.00,2023-12-25,138
Fix Hosing Free Warrinty,1,0.00,0.00,0.00,0.00,2023-12-14,104
Fix  Charging Circutt,1,750.00,750.00,750.00,750.00,2023-12-20,119
Add SSD 1T Orignal (DR),1,2650.00,2650.00,2650.00,2650.00,2023-12-26,141
Change MatherBoard,1,1800.00,1800.00,1800.00,1800.00,2023-12-16,109
Change SP,1,200.00,200.00,200.00,200.00,2023-12-16,109
Change New Screen (Orignal) FHD 144Hz,1,3700.00,3700.00,3700.00,3700.00,2023-12-27,148
"Add SSD 2.5"" 128G",1,550.00,550.00,550.00,550.00,2023-12-27,147
Install SSD - Install Windows + Basic Programs + Orignal Drivers,1,300.00,300.00,300.00,300.00,2023-12-27,147
Unlock SW Password,1,100.00,100.00,100.00,100.00,2023-12-27,146
Fix RAM Short Circuit,1,550.00,550.00,550.00,550.00,2023-12-27,145
Periodic maintenance + changing thermal paste,1,550.00,550.00,550.00,550.00,2023-12-28,150
AutoCAD,1,50.00,50.00,50.00,50.00,2023-12-28,152
KADI + Windows version +,1,250.00,250.00,250.00,250.00,2023-12-28,152
Add hard disk 128,1,550.00,550.00,550.00,550.00,2023-12-28,152
Windows + Adobe,1,100.00,100.00,100.00,100.00,2023-12-24,135
Disassembly and installation,1,50.00,50.00,50.00,50.00,2023-12-29,154
Windows + Caddy,1,250.00,250.00,250.00,250.00,2023-12-29,154
Keyboard installation,1,1150.00,1150.00,1150.00,1150.00,2023-12-29,153
Widnose,1,150.00,150.00,150.00,150.00,2023-12-29,153
New Charger Acer 65W,1,350.00,350.00,350.00,350.00,2023-12-30,159
Fix Limited Charging 54% From Bios,1,1200.00,1200.00,1200.00,1200.00,2023-12-31,160
New KB Orignal,1,1250.00,1250.00,1250.00,1250.00,2023-12-31,161
Autocad 2023 Sours,1,100.00,100.00,100.00,100.00,2023-12-24,137
Revit 2023 Sours,1,100.00,100.00,100.00,100.00,2023-12-24,137
3D Max 2023 Sours,1,100.00,100.00,100.00,100.00,2023-12-24,137
Install Os Montery + Basic Programs,1,550.00,550.00,550.00,550.00,2023-12-30,157
Sumsung SSD M.2 Nvme 256G SN:S425NE0K907262,1,850.00,850.00,850.00,850.00,2023-12-31,164
Orignal SSD M.2 256G,1,850.00,850.00,850.00,850.00,2023-12-31,165
Change New Screen 15.6 120Hz (Orignal),1,3750.00,3750.00,3750.00,3750.00,2023-12-30,156
Add SSD SK hynix 256G 2.5 insh,1,950.00,950.00,950.00,950.00,2024-01-01,169
Install HD + Install Windows + Basic Programs + Orignal Drivers -Cady,1,250.00,250.00,250.00,250.00,2024-01-01,169
Repair of liquid damage,1,750.00,750.00,750.00,750.00,2023-12-18,118
Fix Back light Circuit & Change New Flat Screen,1,550.00,550.00,550.00,550.00,2023-12-18,118
Cooling System Maintenance Free,1,0.00,0.00,0.00,0.00,2023-12-18,118
Change Power Mini Board,1,400.00,400.00,400.00,400.00,2023-12-26,142
"ADD SSD 2.5"" 128G + Install HD + Install Windows + Basic Programs + Orignal Drivers",1,900.00,900.00,900.00,900.00,2024-01-02,172
Add Ram PC3 4G,1,370.00,370.00,370.00,370.00,2024-01-02,172
3d Max 2023,1,75.00,75.00,75.00,75.00,2024-01-03,173
Cad 2022 - 2023,1,75.00,75.00,75.00,75.00,2024-01-03,173
Photo Shop 2022,1,50.00,50.00,50.00,50.00,2024-01-03,173
Revet 2023,1,75.00,75.00,75.00,75.00,2024-01-03,173
SketchUp 2023,1,50.00,50.00,50.00,50.00,2024-01-03,173
Basic Programs Free,1,0.00,0.00,0.00,0.00,2024-01-03,173
HP Charger 90W Envy High Copy,1,350.00,350.00,350.00,350.00,2024-01-03,183
"New Screen 11.6"" (New)",1,1550.00,1550.00,1550.00,1550.00,2024-01-03,176
Fix Battery Circuit,1,150.00,150.00,150.00,150.00,2023-12-23,130
"New Screen 15,6 40Pin",1,1850.00,1850.00,1850.00,1850.00,2024-01-04,185
Routine maintenance,1,550.00,550.00,550.00,550.00,2024-01-02,170
Routine Maintenance,1,350.00,350.00,350.00,350.00,2024-01-07,186
New Battery For HP 15-r0,1,650.00,650.00,650.00,650.00,2024-01-07,187
Change New Wifi Card,1,450.00,450.00,450.00,450.00,2024-01-03,181
Fix Powert Circuit,1,750.00,750.00,750.00,750.00,2024-01-03,177
"New Screen 14"" FHD Ips",1,3500.00,3500.00,3500.00,3500.00,2024-01-09,194
install Autocad,1,100.00,100.00,100.00,100.00,2024-01-08,192
Change New Hosing (A-B),1,1350.00,1350.00,1350.00,1350.00,2024-01-09,196
Change New Rtc Battery,1,150.00,150.00,150.00,150.00,2024-01-03,178
Change New Fan High Quility,1,450.00,450.00,450.00,450.00,2024-01-13,205
SSD 256G Orignal,1,900.00,900.00,900.00,900.00,2024-01-14,207
RAM 8G Orignal,1,650.00,650.00,650.00,650.00,2024-01-14,207
fix wifi and remov Vires,1,150.00,150.00,150.00,150.00,2024-01-12,201
Change Hosing ABH,1,850.00,850.00,850.00,850.00,2024-01-14,206
Routine Maintenance Pro,1,350.00,350.00,350.00,350.00,2024-01-14,210
Change RTC Battery (Free),1,0.00,0.00,0.00,0.00,2024-01-14,210
Screw set (Free),1,0.00,0.00,0.00,0.00,2024-01-14,210
Fix Bios EndPoint Secuirty,1,450.00,450.00,450.00,450.00,2024-01-17,221
HDD 500G,1,400.00,400.00,400.00,400.00,2024-01-17,224
"2.5"" USB Rack",1,200.00,200.00,200.00,200.00,2024-01-17,224
DVD USB Rack,1,150.00,150.00,150.00,150.00,2024-01-17,224
